Liverpool	Swansea	4	1	19
Newcastle	Everton	3	2	19
Aston Villa	Sunderland	0	0	19
Hull	Leicester	0	1	19
Man City	Burnley	2	2	19
QPR	Crystal Palace	0	0	19
Stoke	West Brom	2	0	19
West Ham	Arsenal	1	2	19
Southampton	Chelsea	1	1	19
Spurs	Man Utd	0	0	19
Arsenal	QPR	2	1	18
Burnley	Liverpool	0	1	18
Crystal Palace	Southampton	1	3	18
Everton	Stoke	0	1	18
Leicester	Spurs	1	2	18
Man Utd	Newcastle	3	1	18
Sunderland	Hull	1	3	18
Swansea	Aston Villa	1	0	18
West Brom	Man City	1	3	18
Chelsea	West Ham	2	0	18
Stoke	Chelsea	0	2	17
Liverpool	Arsenal	2	2	17
Newcastle	Sunderland	0	1	17
Aston Villa	Man Utd	1	1	17
Hull	Swansea	0	1	17
QPR	West Brom	3	2	17
Southampton	Everton	3	0	17
Spurs	Burnley	2	1	17
West Ham	Leicester	2	0	17
Man City	Crystal Palace	3	0	17
Everton	QPR	3	1	16
Swansea	Spurs	1	2	16
Man Utd	Liverpool	3	0	16
Arsenal	Newcastle	4	1	16
Burnley	Southampton	1	0	16
Chelsea	Hull	2	0	16
Crystal Palace	Stoke	1	1	16
Leicester	Man City	0	1	16
Sunderland	West Ham	1	1	16
West Brom	Aston Villa	1	0	16
Southampton	Man Utd	1	2	15
Aston Villa	Leicester	2	1	15
West Ham	Swansea	3	1	15
Man City	Everton	1	0	15
Hull	West Brom	0	0	15
Liverpool	Sunderland	0	0	15
QPR	Burnley	2	0	15
Stoke	Arsenal	3	2	15
Spurs	Crystal Palace	0	0	15
Newcastle	Chelsea	2	1	15
Arsenal	Southampton	1	0	14
Chelsea	Spurs	3	0	14
Everton	Hull	1	1	14
Sunderland	Man City	1	4	14
Crystal Palace	Aston Villa	0	1	14
West Brom	West Ham	1	2	14
Burnley	Newcastle	1	1	14
Leicester	Liverpool	1	3	14
Man Utd	Stoke	2	1	14
Swansea	QPR	2	0	14
Spurs	Everton	2	1	13
Southampton	Man City	0	3	13
Sunderland	Chelsea	0	0	13
Burnley	Aston Villa	1	1	13
Liverpool	Stoke	1	0	13
Man Utd	Hull	3	0	13
QPR	Leicester	3	2	13
Swansea	Crystal Palace	1	1	13
West Ham	Newcastle	1	0	13
West Brom	Arsenal	0	1	13
Aston Villa	Southampton	1	1	12
Hull	Spurs	1	2	12
Crystal Palace	Liverpool	3	1	12
Arsenal	Man Utd	1	2	12
Chelsea	West Brom	2	0	12
Everton	West Ham	2	1	12
Leicester	Sunderland	0	0	12
Man City	Swansea	2	1	12
Newcastle	QPR	1	0	12
Stoke	Burnley	1	2	12
Swansea	Arsenal	2	1	11
Sunderland	Everton	1	1	11
Spurs	Stoke	1	2	11
West Brom	Newcastle	0	2	11
QPR	Man City	2	2	11
Burnley	Hull	1	0	11
Man Utd	Crystal Palace	1	0	11
Southampton	Leicester	2	0	11
West Ham	Aston Villa	0	0	11
Liverpool	Chelsea	1	2	11
Crystal Palace	Sunderland	1	3	10
Aston Villa	Spurs	1	2	10
Man City	Man Utd	1	0	10
Arsenal	Burnley	3	0	10
Chelsea	QPR	2	1	10
Everton	Swansea	0	0	10
Hull	Southampton	0	1	10
Leicester	West Brom	0	1	10
Stoke	West Ham	2	2	10
Newcastle	Liverpool	1	0	10
QPR	Aston Villa	2	0	9
Man Utd	Chelsea	1	1	9
Burnley	Everton	1	3	9
Spurs	Newcastle	1	2	9
Swansea	Leicester	2	0	9
Liverpool	Hull	0	0	9
Southampton	Stoke	1	0	9
Sunderland	Arsenal	0	2	9
West Brom	Crystal Palace	2	2	9
West Ham	Man City	2	1	9
West Brom	Man Utd	2	2	8
Stoke	Swansea	2	1	8
QPR	Liverpool	2	3	8
Arsenal	Hull	2	2	8
Burnley	West Ham	1	3	8
Crystal Palace	Chelsea	1	2	8
Everton	Aston Villa	3	0	8
Newcastle	Leicester	1	0	8
Southampton	Sunderland	8	0	8
Man City	Spurs	4	1	8
West Ham	QPR	2	0	7
Chelsea	Arsenal	2	0	7
Spurs	Southampton	1	0	7
Man Utd	Everton	2	1	7
Aston Villa	Man City	0	2	7
Hull	Crystal Palace	2	0	7
Leicester	Burnley	2	2	7
Liverpool	West Brom	2	1	7
Sunderland	Stoke	3	1	7
Swansea	Newcastle	2	2	7
Stoke	Newcastle	1	0	6
West Brom	Burnley	4	0	6
Arsenal	Spurs	1	1	6
Chelsea	Aston Villa	3	0	6
Crystal Palace	Leicester	2	0	6
Hull	Man City	2	4	6
Man Utd	West Ham	2	1	6
Southampton	QPR	2	1	6
Sunderland	Swansea	0	0	6
Liverpool	Everton	1	1	6
Everton	Crystal Palace	2	3	5
Man City	Chelsea	1	1	5
Leicester	Man Utd	5	3	5
Spurs	West Brom	0	1	5
West Ham	Liverpool	3	1	5
Aston Villa	Arsenal	0	3	5
Burnley	Sunderland	0	0	5
Newcastle	Hull	2	2	5
Swansea	Southampton	0	1	5
QPR	Stoke	2	2	5
Hull	West Ham	2	2	4
Man Utd	QPR	4	0	4
Liverpool	Aston Villa	0	1	4
Chelsea	Swansea	4	2	4
Crystal Palace	Burnley	0	0	4
Southampton	Newcastle	4	0	4
Stoke	Leicester	0	1	4
Sunderland	Spurs	2	2	4
West Brom	Everton	0	2	4
Arsenal	Man City	2	2	4
Leicester	Arsenal	1	1	3
Aston Villa	Hull	2	1	3
Spurs	Liverpool	0	3	3
Everton	Chelsea	3	6	3
Man City	Stoke	0	1	3
Newcastle	Crystal Palace	3	3	3
QPR	Sunderland	1	0	3
Swansea	West Brom	3	0	3
West Ham	Southampton	1	3	3
Burnley	Man Utd	0	0	3
Man City	Liverpool	3	1	2
Sunderland	Man Utd	1	1	2
Hull	Stoke	1	1	2
Spurs	QPR	4	0	2
Everton	Arsenal	2	2	2
Chelsea	Leicester	2	0	2
Crystal Palace	West Ham	1	3	2
Southampton	West Brom	0	0	2
Swansea	Burnley	1	0	2
Aston Villa	Newcastle	0	0	2
Burnley	Chelsea	1	3	1
Newcastle	Man City	0	2	1
Liverpool	Southampton	2	1	1
Arsenal	Crystal Palace	2	1	1
Leicester	Everton	2	2	1
QPR	Hull	0	1	1
Stoke	Aston Villa	0	1	1
West Brom	Sunderland	2	2	1
West Ham	Spurs	0	1	1
Man Utd	Swansea	1	2	1
